radio,mcc,mnc,network,lat,lon,range,updated,Tech_Class
GSM,604,1,IAM,35.881728,-5.508767,1151,2024-04-30 06:13:11,Class_B
GSM,604,1,IAM,35.88278,-5.506883,1356,2024-04-30 06:13:07,Class_B
GSM,604,2,inwi,35.885689,-5.506061,8570,2023-12-16 20:11:16,Class_B
GSM,604,2,inwi,35.882266,-5.508397,9111,2023-12-16 19:24:25,Class_B
GSM,604,2,inwi,35.875809,-5.51754,12919,2023-12-16 19:24:22,Class_B
GSM,604,1,IAM,35.788385,-5.804755,1018,2023-10-25 20:21:08,Class_B
GSM,604,1,IAM,35.783878,-5.807893,1000,2023-10-25 20:21:08,Class_B
GSM,604,1,IAM,35.781207,-5.806287,1000,2023-10-25 20:21:08,Class_B
GSM,604,1,IAM,35.790267,-5.804983,1000,2023-10-25 20:21:07,Class_B
GSM,604,1,IAM,35.790273,-5.80511,1000,2023-10-25 20:21:07,Class_B
GSM,604,1,IAM,35.788321,-5.807299,1000,2023-10-25 20:21:07,Class_B
GSM,604,2,inwi,35.790232,-5.805103,1000,2023-10-25 20:21:07,Class_B
GSM,604,1,IAM,35.87444,-5.517623,1600,2023-06-03 17:42:47,Class_B
GSM,604,1,IAM,35.883441,-5.506089,840,2023-06-03 16:38:11,Class_B
GSM,604,1,IAM,35.373323,-6.020931,16589,2023-06-01 15:45:06,Class_B
GSM,604,2,inwi,35.886755,-5.493044,2746,2023-03-19 17:39:37,Class_B
GSM,604,1,IAM,35.203453,-6.082876,16987,2023-03-19 17:29:22,Class_B
GSM,604,2,inwi,35.759037,-5.616378,16356,2023-03-19 15:45:32,Class_B
GSM,604,1,IAM,35.46595,-6.008221,3652,2023-03-06 19:07:29,Class_B
GSM,604,2,inwi,35.83137,-5.55606,5972,2023-03-06 18:04:52,Class_B
GSM,604,2,inwi,35.864915,-5.527625,2501,2023-03-06 18:00:07,Class_B
GSM,604,1,IAM,35.875848,-5.516726,1131,2023-03-06 17:53:31,Class_B
GSM,604,2,inwi,35.879086,-5.51107,3078,2023-03-06 17:10:08,Class_B
UMTS,604,1,IAM,35.615507,-5.960647,1000,2022-10-27 08:34:16,Class_B
UMTS,604,1,IAM,35.520034,-5.990816,1000,2022-10-27 08:28:06,Class_B
UMTS,604,1,IAM,34.941023,-6.202063,2677,2022-10-27 07:49:15,Class_B
UMTS,604,1,IAM,34.921261,-6.203897,1546,2022-10-27 07:47:56,Class_B
GSM,604,0,Orange,34.507122,-6.340138,2001,2022-09-19 10:51:53,Class_B
UMTS,604,1,IAM,34.624055,-6.123077,1759,2022-09-19 10:25:19,Class_B
UMTS,604,1,IAM,34.624603,-6.122179,1015,2022-09-19 10:25:05,Class_B
GSM,604,0,Orange,35.023473,-5.487634,6331,2022-09-17 07:18:02,Class_B
UMTS,604,0,Orange,35.030082,-5.476176,1000,2022-09-17 07:17:32,Class_B
UMTS,604,0,Orange,35.008419,-5.492121,2319,2022-09-17 07:15:42,Class_B
UMTS,604,0,Orange,34.988321,-5.52187,1274,2022-09-17 07:10:43,Class_B
GSM,604,0,Orange,34.984755,-5.541434,1000,2022-09-17 07:07:53,Class_B
GSM,604,0,Orange,34.987245,-5.539309,1000,2022-09-17 07:07:53,Class_B
GSM,604,0,Orange,34.980332,-5.541806,1056,2022-09-17 07:07:53,Class_B
GSM,604,0,Orange,34.978555,-5.54203,1447,2022-09-17 07:07:53,Class_B
GSM,604,0,Orange,34.973639,-5.543064,1379,2022-09-17 07:07:12,Class_B
UMTS,604,0,Orange,34.957827,-5.532536,1000,2022-09-17 07:04:23,Class_B
UMTS,604,0,Orange,34.933558,-5.533979,2304,2022-09-17 07:02:53,Class_B
UMTS,604,0,Orange,34.898917,-5.535908,2327,2022-09-17 06:58:23,Class_B
UMTS,604,0,Orange,34.864837,-5.538458,2723,2022-09-17 06:55:02,Class_B
GSM,604,0,Orange,34.792271,-5.741886,5030,2022-09-17 06:26:41,Class_B
UMTS,604,1,IAM,34.79078,-5.728601,1397,2022-09-17 06:26:23,Class_B
GSM,604,0,Orange,34.792428,-5.744279,4818,2022-09-17 06:26:23,Class_B
GSM,604,0,Orange,34.801515,-5.781082,3321,2022-09-17 06:23:43,Class_B
UMTS,604,1,IAM,34.815803,-5.833531,2162,2022-09-17 06:18:11,Class_B
UMTS,604,1,IAM,34.818281,-5.828013,1491,2022-09-17 06:17:52,Class_B
UMTS,604,1,IAM,34.813675,-5.84586,2052,2022-09-17 06:16:32,Class_B
UMTS,604,1,IAM,34.802533,-5.87203,1241,2022-09-17 06:13:23,Class_B
UMTS,604,1,IAM,34.798941,-5.877544,1000,2022-09-17 06:13:02,Class_B
UMTS,604,1,IAM,34.789001,-5.908618,1829,2022-09-17 06:10:59,Class_B
UMTS,604,1,IAM,34.791572,-5.899583,1000,2022-09-17 06:10:48,Class_B
UMTS,604,1,IAM,34.786232,-5.916994,1000,2022-09-17 06:08:11,Class_B
GSM,604,0,Orange,34.615117,-6.146341,16359,2022-09-17 05:27:52,Class_B
GSM,604,0,Orange,34.616254,-6.14322,12619,2022-09-17 05:27:52,Class_B
UMTS,604,1,IAM,35.152391,-6.134505,1001,2022-05-27 12:13:45,Class_B
UMTS,604,1,IAM,35.152401,-6.134331,1000,2022-05-27 12:13:45,Class_B
UMTS,604,1,IAM,34.849226,-6.224848,1000,2022-05-27 11:53:15,Class_B
UMTS,604,1,IAM,34.848608,-6.224843,1000,2022-05-27 11:53:05,Class_B
UMTS,604,1,IAM,34.849895,-6.225313,1392,2022-05-27 11:53:05,Class_B
UMTS,604,1,IAM,34.849086,-6.225954,1463,2022-05-27 11:53:05,Class_B
UMTS,604,1,IAM,35.452333,-6.021142,1000,2022-05-03 10:29:48,Class_B
UMTS,604,1,IAM,35.498941,-5.987585,1000,2022-05-03 10:26:17,Class_B
UMTS,604,1,IAM,35.499642,-5.992969,1598,2022-05-03 10:26:07,Class_B
GSM,604,1,IAM,35.880593,-5.767111,1000,2022-05-03 09:07:12,Class_B
UMTS,604,1,IAM,35.896376,-5.76309,1000,2022-05-03 09:05:18,Class_B
UMTS,604,1,IAM,34.82185,-6.270515,6092,2022-04-29 14:17:11,Class_B
UMTS,604,1,IAM,34.840437,-6.238411,6378,2022-04-29 14:13:08,Class_B
GSM,604,1,IAM,35.523868,-5.986511,7814,2022-03-21 14:06:01,Class_B
GSM,604,1,IAM,35.879394,-5.514303,1000,2021-10-03 20:41:58,Class_B
GSM,604,1,IAM,35.883545,-5.503246,2008,2021-10-03 19:20:01,Class_B
GSM,604,1,IAM,35.883274,-5.505648,1000,2021-10-03 19:17:01,Class_B
UMTS,604,1,IAM,34.603006,-6.435107,1101,2021-09-26 11:26:04,Class_B
UMTS,604,1,IAM,34.60369,-6.434829,1181,2021-09-26 11:26:04,Class_B
UMTS,604,1,IAM,35.350569,-6.064166,5837,2021-09-25 06:42:08,Class_B
UMTS,604,1,IAM,35.35268,-6.062709,1149,2021-09-25 06:42:08,Class_B
GSM,604,1,IAM,35.678254,-5.927726,1000,2021-09-20 14:36:07,Class_B
GSM,604,2,inwi,35.836829,-5.564121,6327,2020-03-10 13:02:45,Class_B
GSM,604,2,inwi,35.855212,-5.547639,5770,2020-03-10 13:02:45,Class_B
UMTS,604,1,IAM,34.965277,-6.200403,2387,2019-10-06 15:38:50,Class_B
UMTS,604,1,IAM,35.590802,-5.959324,1517,2019-10-06 15:04:27,Class_B
UMTS,604,1,IAM,35.607694,-5.961849,6224,2019-10-06 15:04:10,Class_B
UMTS,604,1,IAM,35.63087,-5.959973,1517,2019-10-06 15:03:24,Class_B
UMTS,604,1,IAM,35.645689,-5.958406,1158,2019-10-06 15:02:48,Class_B
UMTS,604,1,IAM,35.660401,-5.947523,1146,2019-10-06 15:02:00,Class_B
UMTS,604,1,IAM,35.669177,-5.937801,1557,2019-10-06 15:01:06,Class_B
UMTS,604,1,IAM,35.674604,-5.930527,1287,2019-10-06 15:00:28,Class_B
UMTS,604,1,IAM,35.673747,-5.911254,1192,2019-10-06 14:59:50,Class_B
UMTS,604,1,IAM,35.665599,-5.894354,1000,2019-10-06 14:58:18,Class_B
UMTS,604,1,IAM,35.656961,-5.874639,1597,2019-10-06 14:57:18,Class_B
UMTS,604,1,IAM,35.653458,-5.849076,1743,2019-10-06 14:55:22,Class_B
UMTS,604,1,IAM,35.6626,-5.827677,2125,2019-10-06 14:53:35,Class_B
UMTS,604,1,IAM,35.672816,-5.79903,3540,2019-10-06 14:52:46,Class_B
UMTS,604,1,IAM,35.675176,-5.798161,1597,2019-10-06 14:52:08,Class_B
UMTS,604,1,IAM,35.671299,-5.757595,2094,2019-10-06 14:50:21,Class_B
UMTS,604,1,IAM,35.681842,-5.724663,1000,2019-10-06 14:47:55,Class_B
UMTS,604,1,IAM,35.690687,-5.680186,2265,2019-10-06 14:46:13,Class_B
UMTS,604,1,IAM,35.706578,-5.655782,1950,2019-10-06 14:44:40,Class_B
UMTS,604,1,IAM,35.728433,-5.631557,2826,2019-10-06 14:42:58,Class_B
UMTS,604,1,IAM,35.736469,-5.625109,1547,2019-10-06 14:42:00,Class_B
UMTS,604,1,IAM,35.756782,-5.617431,1544,2019-10-06 14:40:04,Class_B
UMTS,604,1,IAM,35.779583,-5.609974,1632,2019-10-06 14:38:42,Class_B
UMTS,604,1,IAM,35.840193,-5.561343,1000,2019-10-06 14:32:47,Class_B
UMTS,604,1,IAM,35.841822,-5.561044,1000,2019-10-06 14:32:30,Class_B
UMTS,604,1,IAM,35.834419,-5.583633,2285,2019-10-06 14:27:46,Class_B
UMTS,604,1,IAM,35.835942,-5.575716,1605,2019-10-06 14:26:22,Class_B
